publishedAt,title,viewCount
2021-09-01T03:00:27Z,【公式ライブ映像】戸山香澄＆花園たえ「B.O.F ～Acoustic Ver.～」（「BanG Dream! 7th☆LIVE」Poppin'Party「Jumpin'Music♪」」より）,234440
2021-08-31T12:30:32Z,ガルパステーション【#3】4.5周年を記念したキャンペーンの情報や第4回ガールズバンド総選挙情報などガルパの最新情報をお届け！,101183
2021-08-31T11:36:28Z,バンドリ！ ガールズバンドパーティ！第4回ガールズバンド総選挙PV,54414
2021-08-30T03:02:35Z,『Trouble Joyful!!』Afterglow(難易度：EXPERT)【ガルパ プレイ動画】,38118
2021-08-27T08:26:14Z,バンドリ！TV LIVE 2021 #81 & バンステ！2021 #8,51791
2021-08-26T13:38:40Z,『ラスハピーポー！』RAISE A SUILEN×ハロー、ハッピーワールド！(難易度：EXPERT)【ガルパ プレイ動画】,54538
2021-08-25T08:00:15Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #71,12359
2021-08-25T03:04:14Z,誕生日記念ガチャ限定 今井リサ #Shorts,29131
2021-08-21T05:30:46Z,ぽぴばん！#12「ポピパの夏休み」～スイカを収穫しよう！！～,94777
2021-08-21T03:04:10Z,『夏に閉じ込めて』Poppin'Party(難易度：EXPERT)【ガルパ プレイ動画】,50236
2021-08-20T09:23:08Z,バンドリ！TV LIVE 2021 #80 & バンステ！2021 #7,85671
2021-08-20T09:00:34Z,【FILM LIVE2】アンコールパート MCシーン,336912
2021-08-19T09:00:13Z,【FILM LIVE2】Poppin’Party MCシーン,201983
2021-08-19T08:00:12Z,【CM】劇場版「BanG Dream! FILM LIVE 2nd Stage」Special Songs,24541
2021-08-19T03:00:09Z,『絆色のアンサンブル』Poppin'Party×Pastel＊Palettes×Morfonica(難易度：EXPERT)【ガルパ プレイ動画】,50323
2021-08-18T09:00:04Z,【公式ライブ映像】Poppin'Party「キズナミュージック♪」,414700
2021-08-18T08:00:13Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #70,11017
2021-08-17T09:00:05Z,【FILM LIVE2】Afterglow MCシーン,265517
2021-08-17T03:00:28Z,【RAISE A SUILEN】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,32288
2021-08-16T09:00:01Z,【公式ライブ映像】Roselia「Neo-Aspect」,375514
2021-08-16T03:00:19Z,【Morfonica】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,43143
2021-08-16T02:43:41Z,バンドリ！TV LIVE 2021 #79 & バンステ！2021 #6,56483
2021-08-15T09:00:06Z,【FILM LIVE2】Roselia MCシーン,182791
2021-08-15T03:00:21Z,【ハロー、ハッピーワールド！】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,35669
2021-08-14T09:00:06Z,【FILM LIVE】ハロー、ハッピーワールド！「えがお･シング･あ･ソング」ライブシーン,168084
2021-08-14T04:00:08Z,【BanG Dream! 9th☆LIVE】愛美さん・相羽あいなさんからスペシャルメッセージ（全国のカラオケルームでライブ・ビューイング開催）,31902
2021-08-14T03:00:13Z,【Roselia】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,34518
2021-08-13T10:00:19Z,ぽぴばん！#11「関西旅！後編」,40352
2021-08-13T09:00:07Z,【公式ライブ映像】RAISE A SUILEN「SOUL SOLDIER」（RAISE A SUILEN ZEPP TOUR 2021「BE LIGHT」東京公演より）,351025
2021-08-13T03:00:16Z,【Pastel＊Palettes】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,44882
2021-08-12T09:00:13Z,【FILM LIVE】Pastel＊Palettes「きゅ～まい＊flower」ライブシーン,193396
2021-08-12T03:00:12Z,【Afterglow】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,46366
2021-08-11T09:00:11Z,【公式ライブ映像】Morfonica「金色へのプレリュード」（Morfonica Special Live 「Andante」より）,445024
2021-08-11T08:00:17Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #69,10513
2021-08-11T03:00:15Z,【Poppin’Party】劇場版「BanG Dream! FILM LIVE 2nd Stage」新CM,41099
2021-08-10T09:00:18Z,【FILM LIVE】Afterglow「ON YOUR MARK」ライブシーン,125344
2021-08-10T08:48:33Z,【PV】BanG Dream! 9th☆LIVE「Mythology」,23569
2021-08-10T03:04:10Z,9th☆LIVE直前！富士急de決起会！ DAY１,90287
2021-08-10T03:04:07Z,9th☆LIVE直前！富士急de決起会！ DAY２,94158
2021-08-10T03:02:29Z,『COLORFUL BOX』Morfonica(難易度：EXPERT)【ガルパ プレイ動画】,50273
2021-08-09T09:00:01Z,【FILM LIVE2】Morfonica MCシーン,296418
2021-08-08T09:00:06Z,【公式ライブ映像】Roselia「BLACK SHOUT」,587771
2021-08-08T04:00:02Z,【PV】BanG Dream! 9th☆LIVE「The Beginning」,52660
2021-08-08T03:09:39Z,誕生日記念ガチャ限定 弦巻こころ #Shorts,37237
2021-08-07T09:00:01Z,【FILM LIVE2】RAISE A SUILEN MCシーン,340071
2021-08-06T09:00:11Z,【FILM LIVE】Poppin’Party「二重の虹」ライブシーン,135657
2021-08-06T00:51:44Z,バンドリ！TV LIVE 2021 #78 & バンステ！2021 #5,57202
2021-08-06T00:30:21Z,バンドリ！ ガールズバンドパーティ！ for Nintendo Switch プロモーションビデオ,65056
2021-08-05T09:00:24Z,【公式ライブ映像】RAISE A SUILEN「R･I･O･T」,481923
2021-08-04T09:00:02Z,【FILM LIVE2】Pastel＊Palettes MCシーン,606570
2021-08-04T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #68,12310
2021-08-03T09:00:31Z,【FILM LIVE】Roselia「FIRE BIRD」ライブシーン,654890
2021-08-02T09:00:05Z,【公式ライブ映像】Poppin'Party「STAR BEAT!〜ホシノコドウ〜」（「BanG Dream! 8th☆LIVE」夏の野外3DAYS DAY3より）,348034
2021-08-01T09:00:06Z,【FILM LIVE2】ハロー、ハッピーワールド！ MCシーン,375459
2021-07-30T03:57:52Z,バンドリ！TV LIVE 2021 #77 & バンステ！2021 #4,66798
2021-07-30T03:04:18Z,『灼熱 Bonfire!』RAISE A SUILEN(難易度：EXPERT)【ガルパ プレイ動画】,53176
2021-07-30T02:57:50Z,『DAYS of DASH』Poppin'Party×鈴木このみ(難易度：EXPERT)【ガルパ プレイ動画】,48955
2021-07-29T13:11:05Z,ガルパステーション【#2】エクストラ楽曲情報やBanG Dream! FILM LIVE 2nd Stage情報などガルパの最新情報をお届け！,137282
2021-07-29T12:58:37Z,Poppin'Party×鈴木このみ『DAYS of DASH』【エクストラ楽曲PV】,452544
2021-07-29T12:30:04Z,【試聴動画】劇場版「BanG Dream! FILM LIVE 2nd Stage」Special Songs（2021/8/25 発売‼︎）,89063
2021-07-29T11:54:27Z,「BanG Dream! ガルパ☆ピコ ふぃーばー！」2021年秋ごろ放送開始！,111786
2021-07-29T11:30:39Z,劇場版「BanG Dream! FILM LIVE 2nd Stage」戸山香澄役・愛美さんの試写会レポート！,19668
2021-07-29T11:18:57Z,劇場版「BanG Dream! FILM LIVE 2nd Stage」ロングPV,275252
2021-07-28T09:00:32Z,【CM】BanG Dream! 9th☆LIVE　ライブ・ビューイング開催！,33247
2021-07-28T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #67,11273
2021-07-26T10:00:13Z,【試聴動画】Poppin'Party ミニAlbum「Live Beyond!!」（2021/8/18 発売‼︎）,55989
2021-07-26T06:54:46Z,バンドリ！TV LIVE 2021 #76  ～連休初日は夜更かししちゃおう2時間SP～ & バンステ！2021 #3,83168
2021-07-21T10:36:55Z,Roselia「Sprechchor」楽曲MV(フルサイズver),534672
2021-07-21T08:00:11Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #66,12009
2021-07-20T02:57:12Z,『Secret Dawn』Morfonica(難易度：EXPERT)【ガルパ プレイ動画】,53305
2021-07-19T00:37:20Z,バンドリ！TV LIVE 2021 #75 & バンステ！2021 #2,69591
