id,name,date,artists,lyricists,composers,arrangers,discs,events
36,僕らは今のなかで,2013年1月23日,μ's,畑 亜貴,森慎太郎,森慎太郎,"{24, 166, 55}","[{'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '106', 'concert': '147', 'performance': '230'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '106', 'concert': '146', 'performance': '228'}, {'event': '103', 'concert': '142', 'performance': '223'}, {'event': '102', 'concert': '141', 'performance': '222'}, {'event': '101', 'concert': '140', 'performance': '221'}, {'event': '98', 'concert': '133', 'performance': '210'}, {'event': '98', 'concert': '133', 'performance': '209'}, {'event': '98', 'concert': '130', 'performance': '201'}, {'event': '98', 'concert': '129', 'performance': '198'}, {'event': '98', 'concert': '129', 'performance': '197'}, {'event': '98', 'concert': '128', 'performance': '196'}, {'event': '98', 'concert': '128', 'performance': '195'}, {'event': '98', 'concert': '128', 'performance': '194'}, {'event': '98', 'concert': '128', 'performance': '193'}, {'event': '92', 'concert': '122', 'performance': '190'}, {'event': '92', 'concert': '121', 'performance': '189'}, {'event': '92', 'concert': '121', 'performance': '188'}, {'event': '92', 'concert': '120', 'performance': '187'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '90', 'concert': '118', 'performance': '180'}, {'event': '88', 'concert': '116', 'performance': '178'}, {'event': '88', 'concert': '114', 'performance': '176'}, {'event': '88', 'concert': '114', 'performance': '175'}, {'event': '87', 'concert': '113', 'performance': '174'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '84', 'concert': '110', 'performance': '170'}, {'event': '83', 'concert': '109', 'performance': '169'}, {'event': '82', 'concert': '108', 'performance': '168'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '80', 'concert': '106', 'performance': '166'}, {'event': '79', 'concert': '105', 'performance': '165'}]"
37,WILD STARS,2013年1月23日,μ's,畑 亜貴,高田 暁,高田 暁,"{24, 166, 55}","[{'event': '81', 'concert': '107', 'performance': '167'}]"
38,きっと青春が聞こえる,2013年2月6日,μ's,畑 亜貴,高田 暁,高田 暁,"{25, 166, 55}","[{'event': '107', 'concert': '145', 'performance': '226'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '137', 'performance': '216'}, {'event': '98', 'concert': '136', 'performance': '214'}, {'event': '98', 'concert': '133', 'performance': '209'}, {'event': '98', 'concert': '133', 'performance': '207'}, {'event': '98', 'concert': '132', 'performance': '205'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '90', 'concert': '118', 'performance': '180'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
39,輝夜の城で踊りたい,2013年2月6日,μ's,畑 亜貴,佐々倉有吾,佐々倉有吾,"{25, 166, 55}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
40,ススメ→トゥモロウ,2013年2月20日,高坂穂乃果、南ことり、園田海未,畑 亜貴,河田貴央,河田貴央,"{26, 166, 55}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '98', 'concert': '137', 'performance': '217'}, {'event': '98', 'concert': '137', 'performance': '216'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
41,START:DASH!!,2013年2月20日,μ's,畑 亜貴,佐々木裕,佐々木裕,"{26, 166, 55}","[{'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '103', 'concert': '142', 'performance': '223'}, {'event': '98', 'concert': '128', 'performance': '196'}, {'event': '98', 'concert': '128', 'performance': '193'}, {'event': '92', 'concert': '122', 'performance': '190'}, {'event': '92', 'concert': '121', 'performance': '188'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '88', 'concert': '114', 'performance': '176'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '84', 'concert': '110', 'performance': '170'}, {'event': '83', 'concert': '109', 'performance': '169'}, {'event': '81', 'concert': '107', 'performance': '167'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
42,これからのSomeday,2013年3月6日,高坂穂乃果、南ことり、園田海未、星空 凛、西木野真姫、小泉花陽、矢澤にこ,畑 亜貴,yozuca*,lotta,"{27, 166, 55}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
43,Wonder zone,2013年3月6日,μ's,畑 亜貴,佐々倉有吾,佐々倉有吾,"{27, 166, 55}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
44,夢なき夢は夢じゃない,2013年3月22日,高坂穂乃果,畑 亜貴,高田 暁,高田 暁,"{184, 75, 166}","[{'event': '98', 'concert': '132', 'performance': '206'}, {'event': '98', 'concert': '132', 'performance': '205'}, {'event': '86', 'concert': '112', 'performance': '173'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
45,No brand girls,2013年4月3日,μ's,畑 亜貴,河田貴央,河田貴央,"{28, 166, 55}","[{'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '106', 'concert': '147', 'performance': '230'}, {'event': '106', 'concert': '147', 'performance': '229'}, {'event': '106', 'concert': '146', 'performance': '228'}, {'event': '103', 'concert': '142', 'performance': '223'}, {'event': '101', 'concert': '140', 'performance': '221'}, {'event': '98', 'concert': '130', 'performance': '200'}, {'event': '98', 'concert': '129', 'performance': '198'}, {'event': '98', 'concert': '128', 'performance': '196'}, {'event': '98', 'concert': '128', 'performance': '193'}, {'event': '92', 'concert': '122', 'performance': '190'}, {'event': '92', 'concert': '121', 'performance': '189'}, {'event': '92', 'concert': '121', 'performance': '188'}, {'event': '92', 'concert': '120', 'performance': '187'}, {'event': '91', 'concert': '119', 'performance': '182'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '89', 'concert': '117', 'performance': '179'}, {'event': '88', 'concert': '114', 'performance': '176'}, {'event': '88', 'concert': '114', 'performance': '175'}, {'event': '87', 'concert': '113', 'performance': '174'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '84', 'concert': '110', 'performance': '170'}, {'event': '82', 'concert': '108', 'performance': '168'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
46,Private Wars,2013年4月10日,A-RISE,畑 亜貴,板垣祐介,板垣祐介,{29},[]
47,Anemone heart,2013年4月24日,南ことり、園田海未,畑 亜貴,高田 暁,高田 暁,"{184, 76, 166}","[{'event': '85', 'concert': '111', 'performance': '171'}]"
258,革命ですね？神様！,2013年4月24日,早乙女リリエル、竜崎クロウエル、白鳥ラナエル、綾小路シェリエル、東條ネルエル,畑 亜貴,矢鴇つかさ（Arte Refact）,矢鴇つかさ（Arte Refact）,{169},[]
259,羽は知ってしまったの？,2013年4月24日,早乙女リリエル,畑 亜貴,原田 篤（Arte Refact）,fandelmale（Arte Refact）,{169},[]
260,閃光Resolution,2013年4月24日,竜崎クロウエル,畑 亜貴,五条下位（Arte Refact）,五条下位（Arte Refact）,{169},[]
261,斯くも憂美な日となりて,2013年4月24日,白鳥ラナエル,畑 亜貴,原田 篤（Arte Refact）,fandelmale（Arte Refact）,{169},[]
262,I'll smile for yours,2013年4月24日,綾小路シェリエル,畑 亜貴,矢鴇つかさ（Arte Refact）,矢鴇つかさ（Arte Refact）,{169},[]
263,コドクの回廊,2013年4月24日,東條ネルエル,畑 亜貴,酒井拓也（Arte Refact）,酒井拓也（Arte Refact）,{169},[]
264,秘密と花園,2013年4月24日,恋塚フルーネティ,畑 亜貴,原田 篤（Arte Refact）,fandelmale（Arte Refact）,{169},[]
265,ここで待ってるよ,2013年4月24日,神楽坂ミナモ,畑 亜貴,酒井拓也（Arte Refact）,酒井拓也（Arte Refact）,{169},[]
266,夢☆ONCE AGAIN,2013年4月24日,アサギ,畑 亜貴,西添 健（Arte Refact）,fandelmale（Arte Refact）,{169},[]
267,"NEURON,NEURON!!",2013年4月24日,ミザリィ,畑 亜貴,矢鴇つかさ（Arte Refact）,矢鴇つかさ（Arte Refact）,{169},[]
48,なわとび,2013年5月28日,小泉花陽,畑 亜貴,rino,藤田宜久,"{184, 77, 166}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '131', 'performance': '204'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '86', 'concert': '112', 'performance': '173'}, {'event': '85', 'concert': '111', 'performance': '171'}, {'event': '81', 'concert': '107', 'performance': '167'}]"
49,Beat in Angel,2013年6月21日,星空 凛、西木野真姫,畑 亜貴,倉内達矢,倉内達矢,"{184, 166, 78}","[{'event': '85', 'concert': '111', 'performance': '171'}]"
50,微熱からMystery,2013年6月26日,lily white,畑 亜貴,佐々木裕,佐々木裕,"{166, 30, 55}","[{'event': '85', 'concert': '111', 'performance': '172'}]"
51,キミのくせに！,2013年6月26日,lily white,畑 亜貴,杉森舞,山元祐介,"{166, 30, 55}","[{'event': '85', 'concert': '111', 'performance': '172'}]"
52,Cutie Panther,2013年7月24日,BiBi,畑 亜貴,佐々木裕,佐々木裕,"{55, 166, 31}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '85', 'concert': '111', 'performance': '172'}]"
53,夏、終わらないで。,2013年7月24日,BiBi,畑 亜貴,渡辺和紀,渡辺和紀,"{55, 166, 31}","[{'event': '85', 'concert': '111', 'performance': '172'}]"
54,にこぷり♡女子道,2013年7月26日,矢澤にこ,畑 亜貴,江並哲志,山元祐介,"{184, 166, 79}","[{'event': '98', 'concert': '138', 'performance': '219'}, {'event': '98', 'concert': '138', 'performance': '218'}, {'event': '98', 'concert': '131', 'performance': '204'}, {'event': '98', 'concert': '131', 'performance': '203'}, {'event': '86', 'concert': '112', 'performance': '173'}, {'event': '85', 'concert': '111', 'performance': '171'}]"
55,Pure girls project,2013年8月21日,Printemps,畑 亜貴,倉内達矢,倉内達矢,"{32, 166, 55}","[{'event': '88', 'concert': '115', 'performance': '177'}, {'event': '85', 'concert': '111', 'performance': '172'}]"
56,UNBALANCED LOVE,2013年8月21日,Printemps,畑 亜貴,佐伯高志,佐伯高志,"{32, 166, 55}","[{'event': '85', 'concert': '111', 'performance': '172'}]"
57,硝子の花園,2013年8月28日,絢瀬絵里、東條 希,畑 亜貴,川崎里実,増田武史,"{80, 166, 184}","[{'event': '98', 'concert': '132', 'performance': '206'}, {'event': '98', 'concert': '132', 'performance': '205'}, {'event': '85', 'concert': '111', 'performance': '171'}]"
58,LONELIEST BABY,2013年9月25日,μ's,畑 亜貴,倉内達矢,倉内達矢,"{184, 81, 166}","[{'event': '85', 'concert': '111', 'performance': '171'}]"
59,ぷわぷわーお!,2013年9月25日,Printemps,畑 亜貴,佐々倉有吾,佐々倉有吾,"{184, 92, 166}","[{'event': '98', 'concert': '134', 'performance': '212'}, {'event': '98', 'concert': '134', 'performance': '211'}]"
60,Music S.T.A.R.T!!,2013年11月27日,μ's,畑 亜貴,山口朗彦,山口朗彦,"{33, 166, 55}","[{'event': '107', 'concert': '145', 'performance': '227'}, {'event': '107', 'concert': '145', 'performance': '226'}, {'event': '98', 'concert': '136', 'performance': '215'}, {'event': '98', 'concert': '136', 'performance': '214'}, {'event': '98', 'concert': '130', 'performance': '202'}, {'event': '91', 'concert': '119', 'performance': '181'}, {'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}]"
61,LOVELESS WORLD,2013年11月27日,μ's,畑 亜貴,山田高弘,河田貴央,"{33, 166, 55}","[{'event': '85', 'concert': '111', 'performance': '172'}, {'event': '85', 'concert': '111', 'performance': '171'}]"
